,station_name,lat,lon
4630, '江苏路', '31.226546', '121.437716'
4631, '交通大学', '31.208554', '121.440977'
4632, '徐家汇', '31.201202', '121.442314'
4633, '上海游泳馆', '31.185365', '121.448026'
4634, '龙华', '31.179259', '121.459229'
4635, '云锦路', '31.17265', '121.464914'
4636, '龙耀路', '31.166117', '121.466'
4637, '东方体育中心', '31.159351', '121.487012'
4638, '三林', '31.148688', '121.517556'
4639, '三林东', '31.152393', '121.529691'
4640, '浦三路', '31.157148', '121.54554'
4641, '御桥', '31.164663', '121.577365'
4642, '罗山路', '31.159218', '121.59971'
4643, '秀沿路', '31.143725', '121.605134'
4644, '康新公路', '31.136033', '121.62383'
4645, '迪士尼', '31.147665', '121.674752'
4646, '桑田岛', '31.278081', '120.788026'
4647, '金尚路', '31.275987', '120.776578'
4648, '金谷路', '31.275275', '120.763345'
4649, '松涛街', '31.270317', '120.746849'
4650, '月亮湾', '31.266752', '120.733861'
4651, '独墅湖邻里中心', '31.259629', '120.729352'
4652, '独墅湖南', '31.254291', '120.711599'
4653, '尹山湖', '31.254198', '120.702681'
4654, '郭苑路', '31.25422', '120.691198'
4655, '郭巷', '31.254705', '120.680383'
4656, '尹中路', '31.255345', '120.671141'
4657, '宝带桥南', '31.255472', '120.655013'
4658, '石湖东路', '31.25893', '120.636146'
4659, '新家桥', '31.262231', '120.621577'
4660, '盘蠡路', '31.27205', '120.621003'
4661, '友联', '31.277974', '120.615237'
4662, '桐泾公园', '31.28524', '120.606406'
4663, '胥江路', '31.29155', '120.604964'
4664, '劳动路', '31.298429', '120.603998'
4665, '三香广场', '31.304181', '120.604321'
4666, '广济南路', '31.310353', '120.607179'
4667, '石路', '31.318138', '120.606425'
4668, '山塘街', '31.326239', '120.608396'
4669, '苏州火车站', '31.3364', '120.617057'
4670, '平河路', '31.34332', '120.620792'
4671, '平泷路东', '31.350876', '120.619371'
4672, '陆慕', '31.359346', '120.629518'
4673, '阳澄湖中路', '31.372572', '120.633596'
4674, '徐图港', '31.381715', '120.632194'
4675, '蠡口', '31.393971', '120.630036'
4676, '富元路', '31.409225', '120.631321'
4677, '大湾', '31.4224', '120.639435'
4678, '高铁苏州北站', '31.42746', '120.651497'
4679, '富翔路', '31.435825', '120.658159'
4680, '骑河', '31.443035', '120.661716'
4681, '骑河', '31.443035', '120.661716'
4682, '富翔路', '31.435825', '120.658159'
4683, '高铁苏州北站', '31.42746', '120.651497'
4684, '大湾', '31.4224', '120.639435'
4685, '富元路', '31.409225', '120.631321'
4686, '蠡口', '31.393971', '120.630036'
4687, '徐图港', '31.381715', '120.632194'
4688, '阳澄湖中路', '31.372572', '120.633596'
4689, '陆慕', '31.359346', '120.629518'
4690, '平泷路东', '31.350876', '120.619371'
4691, '平河路', '31.34332', '120.620792'
4692, '苏州火车站', '31.3364', '120.617057'
4693, '山塘街', '31.326239', '120.608396'
4694, '石路', '31.318138', '120.606425'
4695, '广济南路', '31.310353', '120.607179'
4696, '三香广场', '31.304181', '120.604321'
4697, '劳动路', '31.298429', '120.603998'
4698, '胥江路', '31.29155', '120.604964'
4699, '桐泾公园', '31.28524', '120.606406'
4700, '友联', '31.277974', '120.615237'
4701, '盘蠡路', '31.27205', '120.621003'
4702, '新家桥', '31.262231', '120.621577'
4703, '石湖东路', '31.25893', '120.636146'
